127.0.0.1 - - [11/Jan/2023:14:22:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:25:17 +0530] "GET /PROJECT_4/ctl/UserListCtl HTTP/1.1" 200 9228
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:25:23 +0530] "GET /PROJECT_4/ctl/CollegeListCtl HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:25:29 +0530] "GET /PROJECT_4/ctl/UserListCtl HTTP/1.1" 200 9228
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:25:41 +0530] "POST /PROJECT_4/ctl/UserListCtl HTTP/1.1" 200 6881
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:25:49 +0530] "GET /PROJECT_4/ctl/CollegeListCtl HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:25:52 +0530] "GET /PROJECT_4/ctl/RoleListCtl HTTP/1.1" 200 7806
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:02 +0530] "GET /PROJECT_4/ctl/StudentListCtl HTTP/1.1" 200 12184
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:08 +0530] "GET /PROJECT_4/ctl/CourseListCtl HTTP/1.1" 200 9844
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:13 +0530] "GET /PROJECT_4/ctl/SubjectListCtl HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:19 +0530] "GET /PROJECT_4/ctl/SubjectListCtl HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:22 +0530] "GET /PROJECT_4/ctl/FacultyListCtl HTTP/1.1" 200 10301
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:22 +0530] "GET /PROJECT_4/ctl/FacultyListCtl HTTP/1.1" 200 10301
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:27 +0530] "GET /PROJECT_4/ctl/TimeTableListCtl HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:34 +0530] "POST /PROJECT_4/ctl/TimeTableListCtl HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:26:37 +0530] "GET /PROJECT_4/ctl/TimeTableCtl HTTP/1.1" 200 8090
